ATEU1ITA00005,EU-Italy,ITA-FAR005,PESCAZZURRA S.R.L.,PESCAZZURRA S.R.L.,VIA TOMMASO CANNIZZARO N. 155 - MILAZZO (ME),PESCAZZURRA S.R.L.,VIA TOMMASO CANNIZZARO N. 155 - MILAZZO (ME),MILAZZO (ME),0
ATEU1ITA00006,EU-Italy,ITA-FAR006,Societa' Cooperativa Pescatori Cala Bianca,Societa' Cooperativa Pescatori Cala Bianca,Via Diaz n. 90 - 84050 Camerota (SA),O.P. V.ITA Tonno Consorzio a r.l.,Via Generale G. Natella n. 7 - 84123 Salerno (SA),"Marina di Camerota (SA) PUNTO 1: LAT: 39°57,903' N LONG: 15°21,295' E PUNTO 2: LAT: 39°57,903'N LONG: 15°21,045' E PUNTO 3: LAT: 39°58,000' N LONG: 15°21,295' E PUNTO 4: LAT: 39°58,000' N LONG: 15°21,045' E",0
ATEU1ITA00007,EU-Italy,ITA-FAR007,SOC. ITTICA TRAPPETO A.R.L.,SOC. ITTICA TRAPPETO A.R.L.,"VIA TRIESTE N.32, 91199, TRAPANI (TP)",SOC. ITTICA TRAPPETO A.R.L.,"VIA TRIESTE N.32, 91199, TRAPANI (TP)",TRAPPETO (PA),0
ATEU1ITA00015,EU-Italy,ITA-FAR015,LA FAVORITA SNC,LA FAVORITA SNC,"VIA GAUDELLO SS162 PAL, RIEMMA - 80011 ACERRA (NA)",LA FAVORITA SNC,"VIA GAUDELLO SS162 PAL, RIEMMA - 80011 ACERRA (NA)","ERCOLANO (NA) PUNTO 1: LAT: 40°47'10.2209"" N LONG: 14°19'57.2993"" E PUNTO 2: LAT: 40°47'14.7861"" N LONG: 14°20'03.9480"" E PUNTO 3: LAT: 40°47'19.8395"" N LONG: 14°19'57.9417"" E PUNTO 4: LAT: 40°47'15.2744"" N LONG: 14°19'51.2930"" E",0
ATEU1ITA00016,EU-Italy,ITA-FAR016,Ittica Offshore del Tirreno S.p.a.,ITTICA OFFSHORE DEL TIRRENO S.P.A,VIA MISENO N.20-80070 BACOLI (NA),ITTICA OFFSHORE DEL TIRRENO S.P.A,VIA MISENO N.20-80070 BACOLI (NA),POZZUOILI (NA),0
ATEU1ITA00017,EU-Italy,ITA-FAR017,De.Mo. Pesca di Pasquale della Monica & C. s.a.s.,DE.MO. PESCA DI PASQUALE DELLA MONICA & C. S.A.S.,VIA CAMPITOLA N 1-84010 CETARA (SA),DE.MO. PESCA DI PASQUALE DELLA MONICA & C. SAS,"VIA CAMPINOLA, 1",CETARA (SA),0
ATEU1ITA00019,EU-Italy,ITA-FAR-019,Soc. Coop. Pescatori San Francesco di Paola,SOC. COOP. PESCATORI SAN FRANCESCO DI PAOLA,VIA MOLO BENGASI - 89811 VIBO MARINA (VV),SOC. COOP. PESCATORI SAN FRANCESCO DI PAOLA,VIA MOLO BENGASI - 89811 VIBO MARINA (VV),VIBO VALENTIA (VV),0
ATEU1ITA00021,EU-Italy,ITA-FAR-021,Tonnare Sulcitane s.r.l.,Tonnare Sulcitane s.r.l.,Zona Industriale Strada per Paringianu snc - 09010 Portoscuso (CI),Tonnare Sulcitane s.r.l.,Zona Industriale Strada per Paringianu snc - 09010 Portoscuso (CI),"Portoscuso (CI) PUNTO 1: LAT: 39°16’45,90’’ N LONG: 008°20’48,00’’ E PUNTO 2: LAT: 39°16’51,62’’ N LONG: 008°20’52,35’’ E PUNTO 3: LAT: 39°16’55,20’’ N LONG: 008°20’44,40’’ E PUNTO 4: LAT: 39°16’49,60’’ N LONG: 008°20’39,90’’ E",160
ATEU1ITA00022,EU-Italy,ITA-FAR-022,DG PESCA 1,Direzione Generale della pesca,Via XX Settembre 20 - 00187 Roma (RM),Direzione Generale della pesca e dell'acquacoltura,Via XX Settembre 20 - 00187 Roma (RM),Roma (RM),3010
ATEU1ITA00023,EU-Italy,ITA-FAR-023,DG PESCA 2,Direzione Generale della pesca,Via XX Settembre 20 - 00187 Roma (RM),Direzione Generale della pesca e dell'acquacoltura,Via XX Settembre 20 - 00187 Roma (RM),Roma (RM),3010
ATEU1ITA00024,EU-Italy,ITA-FAR-024,DG PESCA 3,Direzione Generale della pesca,Via XX Settembre 20 - 00187 Roma (RM),Direzione Generale della pesca e dell'acquacoltura,Via XX Settembre 20 - 00187 Roma (RM),Roma (RM),2710
ATEU1ITA00025,EU-Italy,ITA-FAR-025,DG PESCA 4,Direzione Generale della pesca,Via XX Settembre 20 - 00187 Roma (RM),Direzione Generale della pesca e dell'acquacoltura,Via XX Settembre 20 - 00187 Roma (RM),Roma (RM),2710
ATEU1ITA00020,EU-Italy,ITA-FAR-020,Orizon AcquaBios Italia s.a.r.l.,Orizon AcquaBios Italia s.a.r.l.,ZONA INDISTRIALE - 89060 - SALINE DI MONTEBELLO (RC),Orizon AcquaBios Italia s.a.r.l.,ZONA INDISTRIALE - 89060 - SALINE DI MONTEBELLO (RC),SALINE DI MONTEBELLO JONICO (RC),1400
ATEU1MLT00007,EU-Malta,MF29F,Ta' Mattew Fisheries Ltd,GIOVANNI ELLUL,"TA' MATTEW FISHERIES LTD. 'HANGAR', TRIQ IT- TRUNCIERA, MARSAXLOKK MXK1522, MALTA",TA’ MATTEW FISHERIES LTD.,"HANGAR, TRIQ IT TRUNCIERA. MARSAXLOKK. MXK1522",35.8784 (N) 14.6600 (E) 35.8785 (N) 14.6770 (E) 35.8640 (N) 14.6770 (E) 35.8640 (N) 14.6600 (E),707
ATEU1MLT00008,EU-Malta,MF28F,Mare Blu Tuna Farm,MARE BLU TUNA FARM LTD,"74, LIESSE HILL, VALETTA, MALTA",MARE BLU TUNA FARM LTD,"74 LIESSE HILL, VALLETA",SOUTH EAST AQUACULTURE ZONE 35.8930 (N) 14.6430 (E) 35.8930 (N) 14.6600 (E) 35.8784 (N) 14.6600 (E) 35.8785 (N) 14.6430 (E) 35.8930 (N) 14.6600 (E) 35.8930 (N) 14.6770 (E) 35.8785 (N) 14.6770 (E) 35.8784 (N) 14.6600 (E),4200
ATEU1MLT00001,EU-Malta,MF12F,AJD TUNA Ltd,ANTHONY AZZOPARDI & CHARLES AZZOPARDI,"AZZOPARDI FISHERIES, MOSTA ROAD, ST. PAUL'S BAY SPB3111, MALTA",AJD TUNA LIMITED,"MOSTA ROAD, ST PAUL",NORTH AQUACULTURE ZONE 35.58.33 (N) 14.24.48 (E) 35.58.45 (N) 14.24.54 (E) 35.58.34 (N) 14.25.43 (E) 35.58.19 (N) 14.25.38 (E),2247
ATEU1MLT00002,EU-Malta,MF10F,MALTA MARICULTURE LIMITED,MALTA MARICULTURE LTD,"MARFA ROAD, MELLIEHA, MLH7100, MALTA",MALTA MARICULTURE LIMITED,"MARFA ROAD, CIRKEWWA",NORTH AQUACULTURE ZONE 35.58.33 (N) 14.24.48 (E) 35.58.45 (N) 14.24.54 (E) 35.58.34 (N) 14.25.43 (E) 35.58.19 (N) 14.25.38 (E),2408
ATEU1MLT00003,EU-Malta,MF26F,Fish & Fish Ltd.,FISH & FISH LTD.,"TARXIEN ROAD, GHAXAQ, MALTA",FISH & FISH LTD.,"TARXIEN ROAD, GHAXAQ",SOUTH EAST AQUACULTURE ZONE 35.8640 (N) 14.6430 (E) 35.8640 (N) 14.6600 (E) 35.8496 (N) 14.6600 (E) 35.8495 (N) 14.6430 (E) 35.8496 (N) 14.6430 (E) 35.8496 (N) 14.6600 (E) 35.8352 (N) 14.6600 (E) 35.8352 (N) 14.6430 (E),4200
ATEU1MLT00004,EU-Malta,MF25F,MFF Ltd,SAVIOUR ELLUL,"MFF LTD. 'HANGAR', TRIQ IT- TRUNCIERA, MARSAXLOKK MXK1522, MALTA",MFF LTD,"HANGER, TRIQ IT-TRUNCIERA MARSAXLOKK, MXK 1522",SOUTH EAST AQUACULTURE ZONE 35.8785 (N) 14.6430 (E) 35.8784 (N) 14.6600 (E) 35.8640 (N) 14.6600 (E) 35.8640 (N) 14.6430 (E),4200
ATEU1PRT00003,EU-Portugal,PT2022OTAA001254801,BARRIL FARMING FACILITY,"REAL ATUNARA, S.A.",Rua Mestre de Pesca lote 234 - 8700-264 OLHÃO,"REAL ATUNARA, S.A.",Rua Mestre de Pesca lote 234 - 8700-264 OLHÃO,Latitude N 37°02’21.4’’; Longitude W 07°39’51.4’’,370
ATEU1PRT00002,EU-Portugal,PT2020OTAA002830601,TUNIRAISE,"TUNIPEX, SA","PORTO DE PESCA DE OLHÃO, ARMAZÉM 2 - APARTADO 456; 8700-914 OLHÃO","TUNIPEX, SA","PORTO DE PESCA DE OLHÃO, ARMAZEM 2, APTD. 456, 8700-914 OLHÃO",Latitude N 37°01’10’’; Longitude W 07°42’20’’,370
AT001EGY00001,Egypt,1,MARSA GARGOUB,NATIONAL COMPANY FOR FISHERIES AND AQUACULTURE,6 EL-KHALIFA EL-MAAMON; ST. MASR AL-JADIDAH - CAIRO - EGYPT,GENERAL / HAMDY BAADIEN || GENERAL / MOHAMED ELGAMEL,6 EL-KHALIFA EL-MAAMON; ST. MASR AL-JADIDAH - CAIRO - EGYPT,"31° 29’ 46, 41 . "" N, 26° 32’ 7, 14 . "" E, 31° 29’ 52, 21 . "" N, 26° 32’ 21, 21 .""E, 31° 29’ 20,42 . "" N, 26° 31’ 45, 37 . "" E, 31° 29’ 16, 92 . "" N",1800
AT001LBY00003,Libya,2,TUNA FARM OF LIBYA (TFL),NOUR AL HAIAT FISHERY CO.,"AL-ANSAR STR., BEN ASHUR, TRIPOLI, LIBYA",NOUR ALHAIAT FISHERY CO.,ALNASSAR STR.P.O. BOX 1154 TRIPOLI,"08KM NORTH OF MISURATHA HARBOUR; 32°27'N, 15°09'E",600
AT001LBY00004,Libya,4,ALHADER FARM OF TUNA,ALHADER FISHING Co.,"ZAWIAT ALDAHMANI- TRIPOLI, LIBYA",ALHADER FISHING Co.,"ZAWIAT ALDAHMANI- TRIPOLI, LIBYA","ALQARABOLLI HARBOUR -EAST OF TRIPOLI 32°47'55.8""N 13°44'47.6""E",600
AT001LBY00002,Libya,1,BLUE DIAMOND,NORTH AFRICA WAVES,"ABOSETH STREET, TRIPOLI",NORTH AFRICA WAVES FISHING COMPANY,SOUK AL GOMA- ALJALA STREET,"~10KM NE OF FISHING HARBOUR TAJOURA-TRIPOLI 32º54'N, 013º35'E",600
AT001MAR00002,Maroc,MORFARM-001,BLUE FARM,BLUE FARM SARL,"ZONE PORTUAIRE DE LARACHE, MAROC",BLUE FARM S.A.R.L,"ZONE PORTUAIRE DE LARACHE, MAROC","Point A : Lat : 35°18'17""N Long : 06°11'19""W Point B : Lat : 35°19'17""N Long : 06°11'19""W Point C : Lat : 35°19'17""N Long : 06°10'47,20""W Point D : Lat : 35°18'17""N Long : 06°10'47,20""W",3000
AT001MAR00003,Maroc,MORFARM-002,LA LEVANTADA,LA LEVANTADA SARL,"ZONE PORTUAIRE DE TANGER, MAROC",LA LEVANTADA SARL,"ZONE PORTUAIRE DE TANGER, MAROC","Point A : Lat : 35°18'10""N Long : 06°10'31""W Point B : Lat : 35°19'10""N Long : 06°10'31""W Point C : Lat : 35°19'10""N Long : 06°10'01,50""W Point D : Lat : 35°18'10""N Long : 06°10'01,50""W",1200
AT001MAR00004,Maroc,MORFARM-003,PESBAK FISH,PESBAK FISH SARL AU,"Zone portuaire de Larache BP 573, Larache, Maroc",PESBAK FISH SARL AU,"Zone portuaire de Larache BP 573, Larache, Maroc",Point A : Lat : 35°19’23’’N Long : 06°10’35’’W Point B : Lat : 35°20’27’’ N Long : 06°10’30’’W Point C : Lat : 35°20’24’’ N Long : 06°09’28’’W Point D : Lat : 35°19’21’’ N Long : 06°0,1500
AT001MAR00005,Maroc,MORFARM-004,ATLANTIQUE TUNA FARM,ATLANTIQUE TUNA FARM,"23, RUE MOUSSA IBN NOUSSAIR 1ER ETAGE N°1- TANGER",ATLANTIQUE TUNA FARM SARL,"23, RUE MOUSSA IBN NOUSSAIR 1ER ETAGE N°1- TANGER",Point A : Lat : 34°24’00’’N Long : 06°39’25’’W Point B : Lat : 34°25’14’’ N Long : 06°38’40’’W Point C : Lat : 34°25’00’’ N Long : 06°36’50’’W Point D : Lat : 34°23’41’’ N,300
AT001MAR00006,Maroc,MORFARM-005,DAM'S TUNA,DAM'S TUNA SARLAU,"Av Med V , Res Al andalouse B , 1ere etage bureau N° 14 Larache- MAROC",DAM'S TUNA SARLAU,"Av Med V , Res Al andalouse B , 1ere etage bureau N° 14 Larache -MAROC",Point A : Lat : 35°19'27.4''N Long : 6°10'55.2''W Point B : Lat : 35°20'26.8''N Long : 6°10'52.9''W Point C : Lat : 35°20'27.1''N Long : 6°10'24.1''W Point D : Lat : 35°19'26.9''N,1500
AT001NOR00008,Norway,11749,Bårøy,Firda Seafood,"Kalvøyna 75, 5970 Byrknesøy",Nicolai Berg-Arnesen,"Kalvøyna 75, 5970 Byrknesøy","N60°56,733', 4°50,683'E",30
AT001NOR00009,Norway,12978,Lyngholmen,Firda Seafood,"Kalvøyna 75, 5970 Byrknesøy",Nicolai Berg-Arnesen,"Kalvøyna 75, 5970 Byrknesøy","N61°1,000', 5°00,417'E",30
AT001NOR00002,Norway,33077,Elveneset,Firda Seafodd,"Kalvøyna 75, 5970 Byrknesøy",Nicolai Berg-Arnesen,"Kalvøyna 75, 5970 Byrknesøy","N61°12,283', 5°7,900'E",30
AT001NOR00003,Norway,11643,Hatlem,Firda Seafodd,"Kalvøyna 75, 5970 Byrknesøy",Nicolai Berg-Arnesen,"Kalvøyna 75, 5970 Byrknesøy","N61°12,033', 5°15,683'E",30
AT001NOR00004,Norway,36297,Kjeringeholmen,Firda Seafodd,"Kalvøyna 75, 5970 Byrknesøy",Nicolai Berg-Arnesen,"Kalvøyna 75, 5970 Byrknesøy","N61°23,433', 4°58,933'E",30
AT001NOR00005,Norway,11737,Skorpa,Firda Seafodd,"Kalvøyna 75, 5970 Byrknesøy",Nicolai Berg-Arnesen,"Kalvøyna 75, 5970 Byrknesøy","N60°56,700', 4°53,083'E",30
AT001NOR00006,Norway,11700,Storeneset,Firda Seafodd,"Kalvøyna 75, 5970 Byrknesøy",Nicolai Berg-Arnesen,"Kalvøyna 75, 5970 Byrknesøy","N60°52,567', 5°1,717'E",30
AT001NOR00007,Norway,10311,Storlia,Firda Seafodd,"Kalvøyna 75, 5970 Byrknesøy",Nicolai Berg-Arnesen,"Kalvøyna 75, 5970 Byrknesøy","N61°12,183', 5°11,550'E",30
