,geographic_identifier,year,species,measurement_value
21619,6205115,1970,SBF,26.0
21620,6205115,1971,SBF,2.0
21621,6205115,1974,SBF,5.0
21622,6205115,1975,SBF,1.0
21625,6205115,1979,SBF,1.0
21628,6205120,1965,SBF,22.0
21629,6205120,1966,SBF,13.0
21630,6205120,1967,SBF,26.0
21631,6205120,1968,SBF,22.0
21634,6205120,1970,SBF,2.0
21635,6205120,1974,SBF,2.0
21636,6205120,1980,SBF,3.0
21641,6205125,1966,SBF,81.0
21642,6205125,1967,SBF,13.0
21643,6205125,1968,SBF,23.0
21644,6205125,1969,SBF,20.0
21645,6205125,1971,SBF,5.0
21646,6205125,1972,SBF,9.0
21647,6205125,1974,SBF,15.0
21648,6205125,1975,SBF,5.0
21649,6205125,1977,SBF,13.0
21650,6205125,1978,SBF,2.0
21651,6205125,1979,SBF,6.0
21652,6205125,1980,SBF,14.0
21657,6205130,1967,SBF,1.0
21773,6205150,1966,SBF,1.0
21776,6205150,1967,SBF,4.0
21882,6205155,1966,SBF,2.0
21953,6205155,2005,SBF,1.0
22012,6205160,1966,SBF,1.0
22033,6205160,1979,SBF,3.0
22194,6205165,2005,SBF,38.0
22251,6205170,1966,SBF,1.0
22633,6210005,1969,BFT,1.0
22754,6210010,1965,BFT,3.0
22804,6210010,1991,BFT,1.0
23129,6210050,1967,SBF,1.0
23194,6210050,2000,SBF,2.0
23329,6210055,1998,SBF,9.0
23334,6210055,2000,SBF,1.0
23337,6210055,2001,SBF,25.0
23406,6210060,1966,SBF,7.0
23475,6210060,2000,SBF,57.0
23550,6210065,1968,SBF,1.0
23749,6210070,1998,SBF,2.0
23764,6210070,2005,SBF,7.0
24107,6210085,1968,SBF,5.0
24244,6210090,1966,SBF,1.0
24249,6210090,1968,SBF,7.0
24330,6210090,2008,SBF,1.0
24387,6210095,1965,SBF,69.0
24390,6210095,1966,SBF,140.0
24393,6210095,1967,SBF,16.0
24396,6210095,1968,SBF,127.0
24399,6210095,1969,SBF,6.0
24402,6210095,1970,SBF,2.0
24411,6210095,1974,SBF,1.0
24414,6210095,1975,SBF,4.0
24427,6210095,1981,SBF,3.0
24430,6210095,1982,SBF,1.0
24437,6210095,1985,SBF,3.0
24440,6210095,1986,SBF,1.0
24447,6210095,1989,SBF,2.0
24529,6210100,1965,SBF,165.0
24532,6210100,1966,SBF,300.0
24535,6210100,1967,SBF,288.0
24538,6210100,1968,SBF,375.0
24541,6210100,1969,SBF,87.0
24544,6210100,1970,SBF,28.0
24553,6210100,1974,SBF,26.0
24556,6210100,1975,SBF,22.0
24559,6210100,1976,SBF,12.0
24562,6210100,1977,SBF,3.0
24565,6210100,1978,SBF,1.0
24568,6210100,1979,SBF,14.0
24573,6210100,1981,SBF,31.0
24576,6210100,1982,SBF,1.0
